model,outcome,term,estimate,std.error,statistic,p.value,p.adj,sig,conf.low,conf.high,exp_est,exp_lci,exp_uci,pct_change,stars,composite_type
CogDrisk_cont,ab_ratio,GRS,0,0.002,0.054,0.957,0.9730328335767088,Not significant,-0.005,0.005,NA,NA,NA,NA,,CogDrisk
LIBRA2_cont,ab_ratio,GRS,0,0.002,0.078,0.938,0.9701126414644626,Not significant,-0.004,0.005,NA,NA,NA,NA,,LIBRA2
LIBRA2_cont,ab_ratio,apoe_burden,-0.006,0.002,-3.207,0.002,0.008054079327384502,Significant (FDR-adjusted),-0.009,-0.002,NA,NA,NA,NA,**,LIBRA2
CogDrisk_cont,ab_ratio,apoe_burden,-0.006,0.002,-3.191,0.002,0.008054079327384502,Significant (FDR-adjusted),-0.009,-0.002,NA,NA,NA,NA,**,CogDrisk
CogDrisk_cont,ab_ratio,fhx_burden,-0.004,0.002,-1.712,0.088,0.17624641507536437,Not significant,-0.008,0.001,NA,NA,NA,NA,,CogDrisk
LIBRA2_cont,ab_ratio,fhx_burden,-0.003,0.002,-1.379,0.169,0.28210355861468306,Not significant,-0.007,0.001,NA,NA,NA,NA,,LIBRA2
CogDrisk,ab_ratio,risk_score_cogd,-0.003,0.001,-3.026,0.003,0.011782585998527327,Significant (FDR-adjusted),-0.005,-0.001,NA,NA,NA,NA,*,CogDrisk
LIBRA2,ab_ratio,risk_score_libra2,-0.002,0.001,-2.134,0.034,0.08340232602171113,Significant (non-adjusted),-0.004,-0,NA,NA,NA,NA,,LIBRA2
CogDrisk_cont,ab_ratio,score_cogd_z,-0.001,0.001,-0.78,0.436,0.6086101087029453,Not significant,-0.002,0.001,NA,NA,NA,NA,,CogDrisk
LIBRA2_cont,ab_ratio,score_libra2_z,0.001,0.001,0.938,0.349,0.5112249299110522,Not significant,-0.001,0.003,NA,NA,NA,NA,,LIBRA2
LIBRA2_cont,gfap_log,GRS,0.177,0.077,2.287,0.023,0.06297439319238399,Significant (non-adjusted),0.025,0.329,1.194,1.026,1.389,19.374,,LIBRA2
