model_type,model,outcome,AIC,BIC,logLik
Main Effect,CogDrisk_dose,ab_ratio,-7209.381340306134,-7184.443889071129,3609.690670153067
Main Effect,LIBRA2_dose,ab_ratio,-7210.129106829594,-7170.229184853586,3613.064553414797
Main Effect,CogDrisk_dose,gfap_log,78.25841066012549,103.19586189513043,-34.129205330062746
Main Effect,LIBRA2_dose,gfap_log,32.605461245189076,72.50538322119701,-8.302730622594538
Main Effect,CogDrisk_dose,nfl_log,158.8818084388913,183.81925967389625,-74.44090421944566
Main Effect,LIBRA2_dose,nfl_log,102.63952779259637,142.5394497686043,-43.319763896298184
Main Effect,CogDrisk_dose,ptau181_log,884.4365599195455,909.2382985650521,-437.21827995977276
Main Effect,LIBRA2_dose,ptau181_log,873.7405138795089,913.4232957123193,-428.8702569397544
Main Effect,CogDrisk_dose,ptau217_log,700.6702292227083,723.6967188274492,-345.33511461135413
Main Effect,LIBRA2_dose,ptau217_log,683.0060469481928,719.8484303157784,-333.5030234740964
Main Effect,CogDrisk_dose,ptau217_ab42_ratio_log,578.5789085462316,599.4686291164845,-284.2894542731158
Main Effect,LIBRA2_dose,ptau217_ab42_ratio_log,572.2320584018738,605.6556113142786,-278.1160292009369
Time Interaction,CogDrisk_interact,ab_ratio,-7208.131789948877,-7178.206848466871,3610.0658949744384
Time Interaction,LIBRA2_interact,ab_ratio,-7209.335489590607,-7149.485606626595,3616.6677447953034
Time Interaction,CogDrisk_interact,gfap_log,78.03486304243734,107.95980452444329,-33.01743152121867
Time Interaction,LIBRA2_interact,gfap_log,30.978503343353054,90.82838630736494,-3.489251671676527
Time Interaction,CogDrisk_interact,nfl_log,159.9180940841984,189.84303556620435,-73.9590470420992
Time Interaction,LIBRA2_interact,nfl_log,97.9972300799493,157.8471130439612,-36.99861503997465
Time Interaction,CogDrisk_interact,ptau181_log,881.2102847141803,910.9723710887881,-434.60514235709013
Time Interaction,LIBRA2_interact,ptau181_log,864.9447708795834,924.4689436287991,-420.4723854397917
Time Interaction,CogDrisk_interact,ptau217_log,701.0125151983286,728.6443027240178,-344.5062575991643
Time Interaction,LIBRA2_interact,ptau217_log,682.34283267974115,737.6064077311196,-329.1714163398706
Time Interaction,CogDrisk_interact,ptau217_ab42_ratio_log,579.8872039590726,604.9548686433762,-283.9436019795363
Time Interaction,LIBRA2_interact,ptau217_ab42_ratio_log,577.8149742352364,627.9503036038436,-276.9074871176182
