model,outcome,effect,group,term,estimate,std.error,statistic,df,p.value,model_type,conf.low,conf.high,sig,stars,exp_est,exp_lci,exp_uci,pct_change_per_unit,risk_type
CogDrisk_dose,ab_ratio,fixed,NA,risk_score_cogd,-0.003,0.001,-3.643,269.6629004311787,0,Main Effect,-0.005,-0.001,TRUE,***,NA,NA,NA,NA,CogDrisk
LIBRA2_dose,ab_ratio,fixed,NA,risk_score_libra2,-0.003,0.001,-2.906,270.42881760753073,0.004,Main Effect,-0.004,-0.001,TRUE,**,NA,NA,NA,NA,LIBRA2
CogDrisk_dose,gfap_log,fixed,NA,risk_score_cogd,0.102,0.029,3.557,277.0766968308415,0,Main Effect,0.046,0.158,TRUE,***,1.107,1.047,1.171,10.733,CogDrisk
LIBRA2_dose,gfap_log,fixed,NA,risk_score_libra2,0.088,0.027,3.297,277.3563402489206,0.001,Main Effect,0.036,0.141,TRUE,**,1.092,1.037,1.151,9.25,LIBRA2
CogDrisk_dose,nfl_log,fixed,NA,risk_score_cogd,0.066,0.026,2.524,277.6054569788509,0.012,Main Effect,0.015,0.117,TRUE,*,1.068,1.015,1.125,6.834,CogDrisk
LIBRA2_dose,nfl_log,fixed,NA,risk_score_libra2,0.036,0.024,1.476,278.30540533153726,0.141,Main Effect,-0.012,0.083,FALSE,,1.036,0.988,1.086,3.625,LIBRA2
CogDrisk_dose,ptau181_log,fixed,NA,risk_score_cogd,0.077,0.032,2.412,272.11145657544586,0.017,Main Effect,0.014,0.139,TRUE,*,1.08,1.015,1.149,7.983,CogDrisk
LIBRA2_dose,ptau181_log,fixed,NA,risk_score_libra2,0.098,0.032,3.101,273.2861284602989,0.002,Main Effect,0.036,0.16,TRUE,**,1.103,1.037,1.173,10.297,LIBRA2
CogDrisk_dose,ptau217_log,fixed,NA,risk_score_cogd,0.131,0.028,4.61,280.0008061692658,0,Main Effect,0.075,0.186,TRUE,***,1.14,1.078,1.205,13.971,CogDrisk
LIBRA2_dose,ptau217_log,fixed,NA,risk_score_libra2,0.126,0.028,4.537,282.69923212576754,0,Main Effect,0.072,0.181,TRUE,***,1.135,1.074,1.198,13.464,LIBRA2
CogDrisk_dose,ptau217_ab42_ratio_log,fixed,NA,risk_score_cogd,0.164,0.035,4.73,265.35624484740435,0,Main Effect,0.096,0.232,TRUE,***,1.178,1.101,1.261,17.846,CogDrisk
LIBRA2_dose,ptau217_ab42_ratio_log,fixed,NA,risk_score_libra2,0.166,0.035,4.761,264.75646012655164,0,Main Effect,0.097,0.234,TRUE,***,1.18,1.102,1.263,18,LIBRA2
CogDrisk_interact,ab_ratio,fixed,NA,risk_score_cogd,-0.003,0.001,-3.561,313.4072313945924,0,Time Interaction,-0.005,-0.001,TRUE,***,NA,NA,NA,NA,CogDrisk
CogDrisk_interact,ab_ratio,fixed,NA,years_centered:risk_score_cogd,-0,0,-0.228,832.5353182603445,0.82,Time Interaction,-0,0,FALSE,,NA,NA,NA,NA,CogDrisk
LIBRA2_interact,ab_ratio,fixed,NA,risk_score_libra2,-0.002,0.001,-2.487,319.83548609012297,0.013,Time Interaction,-0.004,-0,TRUE,*,NA,NA,NA,NA,LIBRA2
LIBRA2_interact,ab_ratio,fixed,NA,years_centered:risk_score_libra2,0,0,0.973,832.8280025777354,0.331,Time Interaction,-0,0.001,FALSE,,NA,NA,NA,NA,LIBRA2
CogDrisk_interact,gfap_log,fixed,NA,risk_score_cogd,0.096,0.029,3.249,308.95749847955693,0.001,Time Interaction,0.038,0.154,TRUE,**,1.101,1.039,1.166,10.055,CogDrisk
CogDrisk_interact,gfap_log,fixed,NA,years_centered:risk_score_cogd,-0.004,0.005,-0.877,830.0607062772168,0.381,Time Interaction,-0.014,0.005,FALSE,,0.996,0.986,1.005,-0.436,CogDrisk
LIBRA2_interact,gfap_log,fixed,NA,risk_score_libra2,0.093,0.028,3.342,318.9753176616634,0.001,Time Interaction,0.039,0.148,TRUE,***,1.098,1.039,1.159,9.759,LIBRA2
LIBRA2_interact,gfap_log,fixed,NA,years_centered:risk_score_libra2,0.002,0.005,0.475,833.66193850817206,0.635,Time Interaction,-0.008,0.013,FALSE,,1.002,0.992,1.013,0.248,LIBRA2
CogDrisk_interact,nfl_log,fixed,NA,risk_score_cogd,0.066,0.027,2.438,321.2267456124196,0.015,Time Interaction,0.013,0.12,TRUE,*,1.069,1.013,1.127,6.87,CogDrisk
CogDrisk_interact,nfl_log,fixed,NA,years_centered:risk_score_cogd,0,0.005,0.045,839.2523265189513,0.964,Time Interaction,-0.01,0.011,FALSE,,1,0.99,1.011,0.024,CogDrisk
LIBRA2_interact,nfl_log,fixed,NA,risk_score_libra2,0.047,0.025,1.835,336.26621244358466,0.067,Time Interaction,-0.003,0.097,FALSE,,1.048,0.997,1.101,4.781,LIBRA2
LIBRA2_interact,nfl_log,fixed,NA,years_centered:risk_score_libra2,0.007,0.006,1.197,845.296243316615,0.232,Time Interaction,-0.004,0.018,FALSE,,1.007,0.996,1.018,0.676,LIBRA2
CogDrisk_interact,ptau181_log,fixed,NA,risk_score_cogd,0.107,0.034,3.161,334.2402927678842,0.002,Time Interaction,0.041,0.173,TRUE,**,1.113,1.041,1.189,11.271,CogDrisk
CogDrisk_interact,ptau181_log,fixed,NA,years_centered:risk_score_cogd,0.021,0.008,2.676,822.5507546658763,0.008,Time Interaction,0.006,0.037,TRUE,**,1.022,1.006,1.038,2.165,CogDrisk
LIBRA2_interact,ptau181_log,fixed,NA,risk_score_libra2,0.132,0.034,3.896,346.2869914719567,0,Time Interaction,0.066,0.198,TRUE,***,1.141,1.068,1.22,14.115,LIBRA2
LIBRA2_interact,ptau181_log,fixed,NA,years_centered:risk_score_libra2,0.024,0.008,2.869,825.6589295924821,0.004,Time Interaction,0.008,0.041,TRUE,**,1.024,1.008,1.041,2.435,LIBRA2
CogDrisk_interact,ptau217_log,fixed,NA,risk_score_cogd,0.127,0.028,4.467,283.7517212384497,0,Time Interaction,0.071,0.183,TRUE,***,1.136,1.074,1.201,13.573,CogDrisk
CogDrisk_interact,ptau217_log,fixed,NA,years_centered:risk_score_cogd,0.006,0.004,1.548,475.83015560382375,0.122,Time Interaction,-0.001,0.012,FALSE,,1.006,0.999,1.013,0.553,CogDrisk
LIBRA2_interact,ptau217_log,fixed,NA,risk_score_libra2,0.123,0.028,4.405,285.58137479320493,0,Time Interaction,0.068,0.178,TRUE,***,1.131,1.071,1.195,13.098,LIBRA2
LIBRA2_interact,ptau217_log,fixed,NA,years_centered:risk_score_libra2,0.008,0.004,2.262,478.59621433748913,0.024,Time Interaction,0.001,0.016,TRUE,*,1.008,1.001,1.016,0.846,LIBRA2
CogDrisk_interact,ptau217_ab42_ratio_log,fixed,NA,risk_score_cogd,0.163,0.037,4.382,333.89752944736875,0,Time Interaction,0.09,0.236,TRUE,***,1.177,1.094,1.266,17.676,CogDrisk
CogDrisk_interact,ptau217_ab42_ratio_log,fixed,NA,years_centered:risk_score_cogd,-0.001,0.01,-0.109,230.52181484719594,0.913,Time Interaction,-0.02,0.018,FALSE,,0.999,0.98,1.018,-0.105,CogDrisk
LIBRA2_interact,ptau217_ab42_ratio_log,fixed,NA,risk_score_libra2,0.167,0.038,4.434,341.42620359459744,0,Time Interaction,0.093,0.24,TRUE,***,1.181,1.097,1.271,18.123,LIBRA2
LIBRA2_interact,ptau217_ab42_ratio_log,fixed,NA,years_centered:risk_score_libra2,0.001,0.01,0.125,230.13917726347364,0.9,Time Interaction,-0.018,0.021,FALSE,,1.001,0.982,1.021,0.126,LIBRA2
